RN Area ID	RN Area Name	Population	RN_LIC	RN_EMPRATE	Employed RNs	Ratio	Target Ratio	RNSA	Severity	Effective Date
1	Crescent City/Bertsch-Oceanview Area	27424	219	0.811	178	649.1	943	Yes	Medium	6/25/2020
2	Yreka/Montague Area	23613	143	0.811	116	491.3	943	Yes	High	6/25/2020
3	Mount Shasta/Weed Area	19927	247	0.811	200	1003.7	943	No		6/25/2020
4	Burney/Alturas Area	18100	99	0.811	80	442	943	Yes	High	6/25/2020
5	Eureka/McKinleyville Area	136614	1438	0.811	1166	853.5	943	Yes	Low	6/25/2020
6	Redding/Red Bluff Area	246814	2826	0.811	2292	928.6	943	Yes	Low	6/25/2020
7	Susanville/Westwood Area	29683	193	0.811	157	528.9	943	Yes	High	6/25/2020
8	Chester/Hamilton Branch Area	3835	38	0.811	31	808.3	943	Yes	Low	6/25/2020
9	East Quincy/Quincy Area	9579	83	0.811	67	699.4	943	Yes	Medium	6/25/2020
10	Portola/Loyalton Area	8215	69	0.811	56	681.7	943	Yes	Medium	6/25/2020
11	Chico/Paradise Area	189136	2317	0.811	1879	993.5	943	No		6/25/2020
12	Ukiah/Willits Area	63268	536	0.811	435	687.6	943	Yes	Medium	6/25/2020
13	Fort Bragg/Caspar Area	19989	159	0.811	129	645.4	943	Yes	Medium	6/25/2020
14	Yuba City/Linda Area	229197	1691	0.865	1463	638.3	943	Yes	Medium	6/25/2020
15	Grass Valley/Alta Sierra Area	71998	765	0.811	620	861.1	943	Yes	Low	6/25/2020
16	Truckee/Kings Beach Area	26931	385	0.865	333	1236.5	943	No		6/25/2020
17	Colusa/Williams Area	13849	28	0.811	23	166.1	943	Yes	High	6/25/2020
18	Clearlake/Hidden Valley Lake Area	64148	438	0.811	355	553.4	943	Yes	High	6/25/2020
19	Davis/Woodland Area	164770	1109	0.865	959	582	943	Yes	Medium	6/25/2020
20	Diamond Springs/Placerville Area	66997	795	0.865	688	1026.9	943	No		6/25/2020
